Local de residência à data dos Censos [2021] (NUTS - 2013);S7A2021:2021-T:HM
1601:Arcos de Valdevez;46,29
1602:Caminha;115,71
1603:Melgaço;32,63
1604:Monção;84,31
1605:Paredes de Coura;62,46
1606:Ponte da Barca;60,64
1607:Ponte de Lima;128,54
1608:Valença;116,31
1609:Viana do Castelo;268,88
1610:Vila Nova de Cerveira;82,24
0301:Amares;226,91
0302:Barcelos;308,13
0303:Braga;1054,11
0306:Esposende;368,22
0310:Terras de Bouro;22,92
0313:Vila Verde;203,1
0304:Cabeceiras de Basto;64,34
0307:Fafe;221,37
0308:Guimarães;650,75
1705:Mondim de Basto;37,25
0309:Póvoa de Lanhoso;161,72
0311:Vieira do Minho;55,23
0312:Vila Nova de Famalicão;662,4
0314:Vizela;967,45
0104:Arouca;64,25
0107:Espinho;1474,03
1304:Gondomar;1245,13
1306:Maia;1627,41
1308:Matosinhos;2764,45
0113:Oliveira de Azeméis;410,77
1310:Paredes;538,11
1312:Porto;5596,33
1313:Póvoa de Varzim;781,6
0109:Santa Maria da Feira;633,1
1314:Santo Tirso;495,82
0116:São João da Madeira;2788,79
1318:Trofa;535,24
0119:Vale de Cambra;144,36
1315:Valongo;1260,28
1316:Vila do Conde;542,34
1317:Vila Nova de Gaia;1803,54
1702:Boticas;15,53
1703:Chaves;63,58
1706:Montalegre;11,5
1709:Ribeira de Pena;27,06
1712:Valpaços;26,79
1713:Vila Pouca de Aguiar;27,03
1301:Amarante;172,95
1302:Baião;100,46
0106:Castelo de Paiva;135,52
0305:Celorico de Basto;97,44
1804:Cinfães;74,09
1303:Felgueiras;482,53
1305:Lousada;492,96
1307:Marco de Canaveses;245,39
1309:Paços de Ferreira;783,14
1311:Penafiel;328,07
1813:Resende;81,48
1701:Alijó;35,24
1801:Armamar;48,43
0403:Carrazeda de Ansiães;19,66
0404:Freixo de Espada à Cinta;13,17
1805:Lamego;146,97
1704:Mesão Frio;133,1
1807:Moimenta da Beira;42,78
1707:Murça;27,7
1812:Penedono;20,48
1708:Peso da Régua;153,28
1710:Sabrosa;35,36
1711:Santa Marta de Penaguião;88,05
1815:São João da Pesqueira;25,46
1818:Sernancelhe;24,9
1819:Tabuaço;37,61
1820:Tarouca;73,57
0409:Torre de Moncorvo;12,84
0914:Vila Nova de Foz Côa;15,83
1714:Vila Real;130,86
0401:Alfândega da Fé;13,43
0402:Bragança;29,47
0405:Macedo de Cavaleiros;20,38
0406:Miranda do Douro;13,27
0407:Mirandela;32,45
0408:Mogadouro;10,91
0410:Vila Flor;22,76
0411:Vimioso;8,62
0412:Vinhais;11,18
1001:Alcobaça;134,67
1101:Alenquer;146,09
1102:Arruda dos Vinhos;179,48
1005:Bombarral;139,62
1104:Cadaval;76,46
1006:Caldas da Rainha;199,11
1108:Lourinhã;178,3
1011:Nazaré;180,53
1012:Óbidos;84,22
1014:Peniche;340,8
1112:Sobral de Monte Agraço;202,3
1113:Torres Vedras;204,03
0101:Águeda;137,56
0102:Albergaria-a-Velha;156,4
0103:Anadia;127,09
0105:Aveiro;409,73
0108:Estarreja;242,33
0110:Ílhavo;533,95
0112:Murtosa;143,33
0114:Oliveira do Bairro;264,91
0115:Ovar;372,06
0117:Sever do Vouga;85,18
0118:Vagos;138,77
0601:Arganil;33,24
